分类,风格,优,arxiv_id,标题,备注,被引,arXiv
好,科研风,,2407.09893,Synergistic Multi-Agent Framework with Trajectory Learning for Knowledge-Intensive Tasks,,0,https://arxiv.org/abs/2407.09893
坏,,,2407.09897,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,,2,https://arxiv.org/abs/2407.09897
好,科研风,,2407.10403,Cooperative Reward Shaping for Multi-Agent Pathfinding,,0,https://arxiv.org/abs/2407.10403
坏,,,2407.11384,InvAgent: A Large Language Model based Multi-Agent System for Inventory Management in Supply Chains,,4,https://arxiv.org/abs/2407.11384
好,科研风,,2407.12532,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,,1,https://arxiv.org/abs/2407.12532
好,科研风,,2407.14239,KoMA: Knowledge-driven Multi-agent Framework for Autonomous Driving with Large Language Models,,1,https://arxiv.org/abs/2407.14239
好,科研风,,2407.15073,Multi-Agent Causal Discovery Using Large Language Models,,7,https://arxiv.org/abs/2407.15073
好,生动活泼,,2407.16252,LawLuo: A Multi-Agent Collaborative Framework for Multi-Round Chinese Legal Consultation,,0,https://arxiv.org/abs/2407.16252
好,科研风,,2407.17789,Very Large-Scale Multi-Agent Simulation in AgentScope,,1,https://arxiv.org/abs/2407.17789
坏,,,2407.21320,MetaOpenFOAM: an LLM-based multi-agent framework for CFD,,1,https://arxiv.org/abs/2407.21320
好,生动活泼,,2408.00764,AgentGen: Enhancing Planning Abilities for Large Language Model based Agent via Environment and Task Generation,,1,https://arxiv.org/abs/2408.00764
坏,,,2408.01779,MathLearner: A Large Language Model Agent Framework for Learning to Solve Mathematical Problems,,2,https://arxiv.org/abs/2408.01779
坏,,,2408.02248,ReDel: A Toolkit for LLM-Powered Recursive Multi-Agent Systems,,0,https://arxiv.org/abs/2408.02248
好,生动活泼,,2408.04472,Can LLMs Beat Humans in Debating? A Dynamic Multi-agent Framework for Competitive Debate,,0,https://arxiv.org/abs/2408.04472
坏,,,2408.06503,Enhancing Heterogeneous Multi-Agent Cooperation in Decentralized MARL via GNN-driven Intrinsic Rewards,,0,https://arxiv.org/abs/2408.06503
坏,,,2408.06849,Causal Agent based on Large Language Model,,1,https://arxiv.org/abs/2408.06849
坏,,,2408.07531,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for Korean Triage and Acuity Scale (KTAS)-Based Triage and Treatment Planning in Emergency Departments,,3,https://arxiv.org/abs/2408.07531
好,科研风,,2408.08902,Audit-LLM: Multi-Agent Collaboration for Log-based Insider Threat Detection,,2,https://arxiv.org/abs/2408.08902
好,科研风,,2408.09955,MegaAgent: A Large-Scale Autonomous LLM-based Multi-Agent System Without Predefined SOPs,,3,https://arxiv.org/abs/2408.09955
好,科研风,,2408.10635,Strategist: Self-improvement of LLM Decision Making via Bi-Level Tree Search,,0,https://arxiv.org/abs/2408.10635
坏,,,2408.13406,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,,0,https://arxiv.org/abs/2408.13406
好,生动活泼,,2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,,0,https://arxiv.org/abs/2408.14972
坏,,,2408.15449,Graph Attention Inference of Network Topology in Multi-Agent Systems,,0,https://arxiv.org/abs/2408.15449
好,科研风,,2408.15971,BattleAgentBench: A Benchmark for Evaluating Cooperation and Competition Capabilities of Language Models in Multi-Agent Systems,,0,https://arxiv.org/abs/2408.15971
好,生动活泼,,2409.00494,GenAI-powered Multi-Agent Paradigm for Smart Urban Mobility: Opportunities and Challenges for Integrating Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) with Intelligent Transportation Systems,,7,https://arxiv.org/abs/2409.00494
坏,,,2409.00985,Co-Learning: Code Learning for Multi-Agent Reinforcement Collaborative Framework with Conversational Natural Language Interfaces,,0,https://arxiv.org/abs/2409.00985
好,生动活泼,,2409.01575,An Implementation of Werewolf Agent That does not Truly Trust LLMs,,0,https://arxiv.org/abs/2409.01575
坏,,,2409.02645,Emergent Language: A Survey and Taxonomy,,9,https://arxiv.org/abs/2409.02645
坏,,,2409.03659,LLM-based multi-agent poetry generation in non-cooperative environments,,1,https://arxiv.org/abs/2409.03659
坏,,,2409.08406,Knowledge Tagging with Large Language Model based Multi-Agent System,,0,https://arxiv.org/abs/2409.08406
坏,,,2409.10737,AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing,,3,https://arxiv.org/abs/2409.10737
坏,,,2409.11272,LOLA -- An Open-Source Massively Multilingual Large Language Model,,1,https://arxiv.org/abs/2409.11272
坏,,,2409.11527,Improving LLM Reasoning with Multi-Agent Tree-of-Thought Validator Agent,,0,https://arxiv.org/abs/2409.11527
坏,,,2409.13065,Multi-Agent Vulcan: An Information-Driven Multi-Agent Path Finding Approach,,2,https://arxiv.org/abs/2409.13065
好,生动活泼,,2409.14051,GroupDebate: Enhancing the Efficiency of Multi-Agent Debate Using Group Discussion,,0,https://arxiv.org/abs/2409.14051
坏,,,2410.02026,Zodiac: A Cardiologist-Level LLM Framework for Multi-Agent Diagnostics,,2,https://arxiv.org/abs/2410.02026
坏,,,2410.02189,Agent-Oriented Planning in Multi-Agent Systems,,2,https://arxiv.org/abs/2410.02189
好,科研风,,2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,,3,https://arxiv.org/abs/2410.02506
好,科研风,,2410.02507,Can Large Language Models Grasp Legal Theories? Enhance Legal Reasoning with Insights from Multi-Agent Collaboration,,1,https://arxiv.org/abs/2410.02507
好,科研风,,2410.02511,"Stop Wandering, Find the Keys: LLMs Discriminate Key States for Efficient Multi-Agent Exploration",,0,https://arxiv.org/abs/2410.02511
坏,,,2410.02551,ColaCare: Enhancing Electronic Health Record Modeling through Large Language Model-Driven Multi-Agent Collaboration,,22,https://arxiv.org/abs/2410.02551
坏,,,2410.02584,Towards Implicit Bias Detection and Mitigation in Multi-Agent LLM Interactions,,1,https://arxiv.org/abs/2410.02584
好,科研风,,2410.02958,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,,5,https://arxiv.org/abs/2410.02958
好,科研风,,2410.03129,ARB-LLM: Alternating Refined Binarizations for Large Language Models,,0,https://arxiv.org/abs/2410.03129
坏,,,2410.03997,YOLO-MARL: You Only LLM Once for Multi-Agent Reinforcement Learning,,0,https://arxiv.org/abs/2410.03997
坏,,,2410.04452,MindScope: Exploring cognitive biases in large language models through Multi-Agent Systems,,1,https://arxiv.org/abs/2410.04452
好,科研风,,2410.05130,Scalable and Accurate Graph Reasoning with LLM-based Multi-Agents,,4,https://arxiv.org/abs/2410.05130
坏,,,2410.06101,Coevolving with the Other You: Fine-Tuning LLM with Sequential Cooperative Multi-Agent Reinforcement Learning,,0,https://arxiv.org/abs/2410.06101
坏,,,2410.07283,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems,,0,https://arxiv.org/abs/2410.07283
好,科研风,,2410.07561,AI-Press: A Multi-Agent News Generating and Feedback Simulation System Powered by Large Language Models,,1,https://arxiv.org/abs/2410.07561
好,科研风,,2410.08115,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,,0,https://arxiv.org/abs/2410.08115
好,生动活泼,,2410.09403,Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,,4,https://arxiv.org/abs/2410.09403
好,生动活泼,,2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,,1,https://arxiv.org/abs/2410.11782
好,科研风,,2410.12376,ShapefileGPT: A Multi-Agent Large Language Model Framework for Automated Shapefile Processing,,3,https://arxiv.org/abs/2410.12376
坏,,,2410.12475,Aegis:An Advanced LLM-Based Multi-Agent for Intelligent Functional Safety Engineering,,0,https://arxiv.org/abs/2410.12475
好,科研风,,2410.12532,MedAide: Information Fusion and Anatomy of Medical Intents via LLM-based Agent Collaboration,,2,https://arxiv.org/abs/2410.12532
坏,,,2410.13768,Rapid and Automated Alloy Design with Graph Neural Network-Powered LLM-Driven Multi-Agent Systems,,4,https://arxiv.org/abs/2410.13768
好,科研风,,2410.14251,Synthesizing Post-Training Data for LLMs through Multi-Agent Simulation,,0,https://arxiv.org/abs/2410.14251
坏,,,2410.14368,CoMAL: Collaborative Multi-Agent Large Language Models for Mixed-Autonomy Traffic,,0,https://arxiv.org/abs/2410.14368
坏,,,2410.14989,AutoFPDesigner: Automated Flight Procedure Design Based on Multi-Agent Large Language Model,,0,https://arxiv.org/abs/2410.14989
坏,,,2410.15168,An Electoral Approach to Diversify LLM-based Multi-Agent Collective Decision-Making,,0,https://arxiv.org/abs/2410.15168
好,生动活泼,,2410.15686,NetSafe: Exploring the Topological Safety of Multi-agent Networks,,1,https://arxiv.org/abs/2410.15686
坏,,,2410.16658,Adsorb-Agent: Autonomous Identification of Stable Adsorption Configurations via Large Language Model Agent,,5,https://arxiv.org/abs/2410.16658
好,科研风,,2410.18032,GraphTeam: Facilitating Large Language Model-based Graph Analysis via Multi-Agent Collaboration,,1,https://arxiv.org/abs/2410.18032
好,科研风,,2410.19245,MaCTG: Multi-Agent Collaborative Thought Graph for Automatic Programming,,0,https://arxiv.org/abs/2410.19245
坏,,,2410.19382,Multi-Agent Reinforcement Learning with Selective State-Space Models,,0,https://arxiv.org/abs/2410.19382
好,科研风,,2410.21067,CRAT: A Multi-Agent Framework for Causality-Enhanced Reflective and Retrieval-Augmented Translation with Large Language Models,,0,https://arxiv.org/abs/2410.21067
坏,,,2410.22552,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,,0,https://arxiv.org/abs/2410.22552
好,生动活泼,,2410.22916,Explainable Behavior Cloning: Teaching Large Language Model Agents through Learning by Demonstration,,0,https://arxiv.org/abs/2410.22916
坏,,,2410.22932,Multi-Agent Large Language Models for Conversational Task-Solving,,3,https://arxiv.org/abs/2410.22932
坏,,,2410.23180,ReasoningRec: Bridging Personalized Recommendations and Human-Interpretable Explanations through LLM Reasoning,,0,https://arxiv.org/abs/2410.23180
坏,,,2411.00053,ACC-Collab: An Actor-Critic Approach to Multi-Agent LLM Collaboration,,1,https://arxiv.org/abs/2411.00053
坏,,,2411.00427,DARD: A Multi-Agent Approach for Task-Oriented Dialog Systems,,0,https://arxiv.org/abs/2411.00427
坏,,,2411.01455,HiMemFormer: Hierarchical Memory-Aware Transformer for Multi-Agent Action Anticipation,,1,https://arxiv.org/abs/2411.01455
